email,hobby_1,hobby_2,hobby_3,hobby_4,hobby_5,first_name,last_name
heinz.heinrichs@gmaiil.te,Schreiben,Musik,Bowling,,,Heinz,Heinrichs
theodor.wellenbrock@gmaiil.te,Basteln,Nähen,Schwimmen,Backen,,Theodor,Wellenbrock
abdulk..stuckmann@web.kom,Angeln,,,,,Abdul K.,Stuckmann
harald.hackethal@autluuk.te,Yoga,,,,,Harald,Hackethal
heinz.fleddermann@autluuk.ork,Basteln,Nähen,Reisen,Lesen,Singen,Heinz,Fleddermann
anderson.stephen@web.ork,Golf,Tennis,Bowling,,,Anderson,Stephen
dennis.heiburg@a-o-l.te,Nähen,Gitarre,Klavierspielen,,,Dennis,Heiburg
martha.weilke@web.ork,Schach,,,,,Martha,Weilke
anneliese.senß@web.ork,Stricken,Surfen,Radfahren,Malen,,Anneliese,Senß
dirk.loerke@gmaiil.te,Fotografie,Backen,,,,Dirk,Loerke
joachim.büldt@gmaiil.kom,Schreiben,Reisen,Lesen,Tennis,Klavierspielen,Joachim,Büldt
markus.kaup@web.te,Tennis,Laufen,Backen,,,Markus,Kaup
traudel.röttger@gmaiil.kom,Lesen,Musik,Tennis,Wandern,,Traudel,Röttger
bruno.herkströter@gmaiil.ork,Singen,Tanzen,,,,Bruno,Herkströter
wilhelm.jakuschewski@d-ohnline.ork,Klettern,Schwimmen,Angeln,Backen,,Wilhelm,Jakuschewski
ulrich.wenig@iunitimail.kom,Surfen,Schreiben,Tanzen,,,Ulrich,Wenig
aslan.özberk@d-ohnline.te,Tanzen,Singen,Schach,Joggen,,Aslan,Özberk
martin.harbort@gmaiil.kom,Tennis,Schreiben,,,,Martin,Harbort
hans.schmidt@web.kom,Musik,Fotografie,Schreiben,Laufen,,Hans,Schmidt
wilhelm.lausch@ge-em-ix.ork,Schwimmen,,,,,Wilhelm,Lausch
wladislaw.bretschneider@iunitimail.kom,Golf,Schwimmen,Tennis,Surfen,,Wladislaw,Bretschneider
ingrid.henke@iunitimail.kom,Tanzen,Musik,Singen,Angeln,Bowling,Ingrid,Henke
kurt.krause@autluuk.kom,Bowling,Gitarre,,,,Kurt,Krause
tatjana.melzer@iunitimail.te,Schwimmen,,,,,Tatjana,Melzer
max.hömmeke@autluuk.ork,Bowling,Tennis,Tanzen,Lesen,Reisen,Max,Hömmeke
sebastian.meyering@ge-em-ix.ork,Schach,,,,,Sebastian,Meyering
edith.vehlow@gmaiil.te,Nähen,Surfen,Schreiben,Backen,,Edith,Vehlow
anja.mallek@autluuk.ork,Backen,,,,,Anja,Mallek
aktaş.renan@web.ork,Klettern,Reisen,,,,Aktaş,Renan
filastò.elsa@autluuk.ork,Schwimmen,,,,,Filastò,Elsa
corinna.begrow@ge-em-ix.ork,Yoga,Angeln,,,,Corinna,Begrow
erna.tönskemper@iunitimail.te,Fotografie,Backen,Kochen,Radfahren,Bowling,Erna,Tönskemper
stefan.seemann@iunitimail.ork,Schreiben,Golf,Schwimmen,,,Stefan,Seemann
helga.bertmann@ge-em-ix.ork,Schreiben,Surfen,Nähen,,,Helga,Bertmann
ansgar.kötter@web.ork,Singen,,,,,Ansgar,Kötter
gerd.langenkamp@gmaiil.ork,Yoga,Singen,Tennis,Wandern,Lesen,Gerd,Langenkamp
petrova.anya@web.te,Nähen,,,,,Petrova,Anya
rudolf.köllermann@ge-em-ix.ork,Golf,,,,,Rudolf,Köllermann
dana.baentsch@web.te,Schreiben,Kochen,Radfahren,Camping,,Dana,Baentsch
wolfgang.keuper@ge-em-ix.te,Schach,,,,,Wolfgang,Keuper
birgit.koschke@gmaiil.kom,Angeln,Kochen,Klavierspielen,Camping,Yoga,Birgit,Koschke
christel.gebel@a-o-l.kom,Tanzen,Nähen,Laufen,,,Christel,Gebel
gabi.wirtz@gmaiil.te,Gartenarbeit,,,,,Gabi,Wirtz
arslan.tolgay@1mal1.te,Klettern,Camping,,,,Arslan,Tolgay
bernhard.operhalsky@gmaiil.ork,Laufen,Lesen,Tennis,Tanzen,,Bernhard,Operhalsky
stefan.gröne@a-o-l.te,Schwimmen,Bowling,Laufen,Singen,Malen,Stefan,Gröne
markus.heimann@ge-em-ix.ork,Camping,Kochen,Tanzen,Stricken,Klettern,Markus,Heimann
elisabeth.janusch@d-ohnline.kom,Gartenarbeit,,,,,Elisabeth,Janusch
udo.hutschenreiter@d-ohnline.kom,Surfen,Joggen,Kochen,,,Udo,Hutschenreiter
maria.rosenstengel@a-o-l.te,Yoga,Camping,Wandern,,,Maria,Rosenstengel
manfred.hürter@d-ohnline.te,Surfen,Malen,Fotografie,Gartenarbeit,Basteln,Manfred,Hürter
martin.gerhardus@ge-em-ix.te,Kochen,Camping,,,,Martin,Gerhardus
stefan.jasper@gmaiil.te,Camping,Schreiben,Angeln,,,Stefan,Jasper
maria.peters@1mal1.te,Nähen,Angeln,Tennis,,,Maria,Peters
ghosh.nidhi@gmaiil.te,Laufen,,,,,Ghosh,Nidhi
hansjörg.lewko@1mal1.te,Schreiben,Kochen,Laufen,,,Hans Jörg,Lewko
heinrich.humbert@gmaiil.te,Stricken,Wandern,Bowling,,,Heinrich,Humbert
medić.miralem@gmaiil.te,Backen,,,,,Medić,Miralem
ingo.horre@1mal1.kom,Yoga,,,,,Ingo,Horre
andrea.welling@d-ohnline.te,Fotografie,Angeln,Malen,,,Andrea,Welling
karin.kroepsch@autluuk.te,Klettern,Joggen,Reisen,Malen,,Karin,Kroepsch
janina.ehrlich@a-o-l.ork,Musik,Lesen,Camping,,,Janina,Ehrlich
kai.gehrmann@web.ork,Gartenarbeit,Klettern,,,,Kai,Gehrmann
stoica.madalina@d-ohnline.te,Bowling,Camping,Angeln,,,Stoica,Madalina
jens.brüggemann@gmaiil.te,Lesen,Tanzen,,,,Jens,Brüggemann
katrin.brinks@gmaiil.kom,Gartenarbeit,Bowling,Backen,,,Katrin,Brinks
elisabeth.flügemann@gmaiil.te,Malen,Wandern,Tennis,Stricken,Basteln,Elisabeth,Flügemann
horvat.ana@gmaiil.te,Joggen,Lesen,,,,Horvat,Ana
petrov.stanislav@a-o-l.kom,Reisen,Golf,Klavierspielen,,,Petrov,Stanislav
tóth.imre@a-o-l.kom,Golf,Kochen,Gitarre,Schwimmen,Singen,Tóth,Imre
jürgen.rübsam@a-o-l.ork,Tanzen,Schach,Fotografie,,,Jürgen,Rübsam
christian.knobloch@d-ohnline.te,Angeln,Reisen,Radfahren,Bowling,Backen,Christian,Knobloch
nikitassova.zenka@1mal1.kom,Stricken,Radfahren,Backen,Lesen,,Nikitassova,Zenka
kirsten.fröse@gmaiil.te,Tanzen,,,,,Kirsten,Fröse
anneliese.reckers@web.kom,Malen,Fotografie,Klettern,Schach,Musik,Anneliese,Reckers
franz.konrad@autluuk.te,Basteln,Bowling,Reisen,Lesen,Tennis,Franz,Konrad
rainer.wieners@autluuk.te,Schach,Reisen,Bowling,Musik,,Rainer,Wieners
kohzad.fawzia@d-ohnline.ork,Schwimmen,Lesen,Nähen,Radfahren,,Kohzad,Fawzia
lothar.hill@gmaiil.te,Surfen,Joggen,Schreiben,,,Lothar,Hill
carsten.haarmeyer@a-o-l.kom,Musik,Schreiben,,,,Carsten,Haarmeyer
klaus.bloch@gmaiil.te,Bowling,Kochen,Schach,Basteln,,Klaus,Bloch
ernst.zumdohme@gmaiil.kom,Schwimmen,Surfen,Wandern,Yoga,,Ernst,Zumdohme
rainer.koch@web.kom,Stricken,Radfahren,Musik,Wandern,Reisen,Rainer,Koch
albin.jander@ge-em-ix.ork,Kochen,Klettern,,,,Albin,Jander
wojciechowski.sylwia@ge-em-ix.kom,Laufen,Basteln,,,,Wojciechowski,Sylwia
wibke.rosigkeit@d-ohnline.te,Yoga,Angeln,Gitarre,,,Wibke,Rosigkeit
manfred.thye@gmaiil.te,Schach,Gitarre,Bowling,,,Manfred,Thye
heinrich.schnautz@autluuk.kom,Tanzen,Golf,Bowling,Fotografie,Singen,Heinrich,Schnautz
huber.elisabeth@iunitimail.te,Tennis,Reisen,Gartenarbeit,Fotografie,Malen,Huber,Elisabeth
